Propinsi;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Aceh; 2.308 ; 2.620 ; 36.337 ; 4.567 ; 4.710 ; 5.775 ; 5.514 ; 5.799 ; 7.509 ; 6.641 ; 3.702 
Sumatera Utara; 23.238 ; 25.981 ; 18.120 ; 30.503 ; 30.254 ; 34.427 ; 35.617 ; 41.769 ; 47.112 ; 36.609 ; 31.840 
Sumatera Barat; 9.385 ; 11.192 ; 14.056 ; 14.103 ; 13.309 ; 14.078 ; 15.312 ; 15.058 ; 14.750 ; 10.696 ; 10.748 
Riau; 3.012 ; 4.447 ; 8.933 ; 6.358 ; 7.156 ; 8.211 ; 8.553 ; 10.730 ; 10.915 ; 9.148 ; 7.769 
Kep. Riau; 1.426 ; 2.236 ; 3.378 ; 2.563 ; 3.218 ; 4.317 ; 4.412 ; 5.134 ; 6.077 ; 6.175 ; 5.009 
Jambi; 1.868 ; 2.138 ; 3.047 ; 5.169 ; 4.978 ; 4.398 ; 4.404 ; 5.657 ; 6.486 ; 5.628 ; 4.980 
Sumatera Selatan; 7.820 ; 9.126 ; 8.647 ; 10.038 ; 10.797 ; 12.752 ; 13.075 ; 14.267 ; 14.812 ; 11.756 ; 9.106 
Bengkulu; 1.153 ; 1.201 ; 2.378 ; 3.262 ; 2.791 ; 2.889 ; 3.620 ; 4.150 ; 5.789 ; 4.971 ; 4.160 
Lampung; 7.690 ; 6.969 ; 3.474 ; 9.448 ; 8.160 ; 9.373 ; 12.078 ; 13.415 ; 17.046 ; 15.158 ; 10.697 
Kep. Bangka Belitung; -   ; -   ; -   ; 14 ; 1.177 ; 1.544 ; 1.164 ; 1.517 ; 3.265 ; 2.562 ; 1.259 
